page	line	mather token	marchant token	book	chapter	section																		
Darius on his deathbed sends for Cyrus																								
53	26	ἑκοῦσαι	ἑκοῦσαι	1	1	9																		
53	26	.	.	1	1	9																		
53	26	τοῦτο	τοῦτο	1	1	9																		
53	26	δ'	δ'	1	1	9																		
53	26	αὖ	αὖ	1	1	9																		
53	26	οὕτω	οὕτω	1	1	9																		
53	26	τρεφόμενον	τρεφόμενον	1	1	9																		
53	26	ἐλάνθανεν	ἐλάνθανεν	1	1	9																		
53	26	αὐτῷ	αὐτῷ	1	1	9																		
53	27	τὸ	τὸ	1	1	9																		
53	27	στράτευμα	στράτευμα	1	1	9																		
53	27	.	.	1	1	9																		
Cyrus' preparations in Thessaly																								
54	1	Ἀρίστιππος	Ἀρίστιππος	1	1	10																		
54	1	δὲ	δὲ	1	1	10																		
54	1	ὁ	ὁ	1	1	10																		
54	1	Θετταλὸς	Θετταλὸς	1	1	10																		
54	1	ξένος	ξένος	1	1	10																		
54	1	ὢν	ὢν	1	1	10																		
54	1	ἐτύγχανεν	ἐτύγχανεν	1	1	10																		
54	1	αὐτῷ	αὐτῷ	1	1	10																		
54	1	,	,	1	1	10																		
54	2	καὶ	καὶ	1	1	10																		
54	2	πιεζόμενος	πιεζόμενος	1	1	10																		
54	2	ὑπὸ	ὑπὸ	1	1	10																		
54	2	τῶν	τῶν	1	1	10																		
54	2	οἴκοι	οἴκοι	1	1	10																		
54	2	ἀντιστασιωτῶν	ἀντιστασιωτῶν	1	1	10																		
54	2	ἔρχεται	ἔρχεται	1	1	10																		
54	3	πρὸς	πρὸς	1	1	10																		
54	3	τὸν	τὸν	1	1	10																		
54	3	Κῦρον	Κῦρον	1	1	10																		
54	3	καὶ	καὶ	1	1	10																		
54	3	αἰτεῖ	αἰτεῖ	1	1	10																		
54	3	αὐτὸν	αὐτὸν	1	1	10																		
54	3	εἰς	εἰς	1	1	10																		
54	3	δισχιλίους	δισχιλίους	1	1	10																		
54	3	ξένους	ξένους	1	1	10																		
54	4	καὶ	καὶ	1	1	10																		
54	4	τριῶν	τριῶν	1	1	10																		
54	4	μηνῶν	μηνῶν	1	1	10																		
54	4	μισθόν	μισθόν	1	1	10																		
54	4	,	,	1	1	10																		
54	4	ὡς	ὡς	1	1	10																		
54	4	οὕτως	οὕτως	1	1	10																		
54	4	περιγενόμενος	περιγενόμενος	1	1	10																		
54	4	ἂν	ἂν	1	1	10																		
54	5	τῶν	τῶν	1	1	10																		
54	5	ἀντιστασιωτῶν	ἀντιστασιωτῶν	1	1	10																		
54	5	)	.	1	1	10																		
54	5	ὁ	ὁ	1	1	10																		
54	5	δὲ	δὲ	1	1	10																		
54	5	Κῦρος	Κῦρος	1	1	10																		
54	5	δίδωσιν	δίδωσιν	1	1	10																		
54	5	αὐτῷ	αὐτῷ	1	1	10																		
54	5	εἰς	εἰς	1	1	10																		
54	6	τετρακισχιλίους	τετρακισχιλίους	1	1	10																		
54	6	καὶ	καὶ	1	1	10																		
54	6	ἓξ	ἓξ	1	1	10																		
54	6	μηνῶν	μηνῶν	1	1	10																		
54	6	μισθόν	μισθόν	1	1	10																		
54	6	,	,	1	1	10																		
54	6	καὶ	καὶ	1	1	10																		
54	6	δεῖται	δεῖται	1	1	10																		
54	6	αὐτοῦ	αὐτοῦ	1	1	10																		
